"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","feature"
"4652","Aph1c","-6.793898e-01","-0.1333300414","-6.661060e+00"," 3.156866e-11"," 1.999320e-10"," 1.366925e+01","Aph1c"
"4653","Rnmt","-6.792263e-01"," 0.7923886359","-4.981852e+00"," 6.610851e-07"," 2.059902e-06"," 4.107207e+00","Rnmt"
"4654","1700009P17Rik","-6.791886e-01","-0.3365463749","-7.862570e+00"," 5.007873e-15"," 4.071807e-14"," 2.224664e+01","1700009P17Rik"
"4655","Myo7a","-6.791694e-01","-0.3148161512","-7.521908e+00"," 6.864249e-14"," 5.215627e-13"," 1.967478e+01","Myo7a"
"4656","Yrdc"," 6.791387e-01"," 1.1523121521"," 4.088539e+00"," 4.441142e-05"," 6.297687e-05"," 2.161966e-01","Yrdc"
"4657","Prcp"," 6.789373e-01"," 0.3837955281"," 4.947712e+00"," 7.872333e-07"," 2.059902e-06"," 3.927670e+00","Prcp"
"4658","Lrrc1","-6.787767e-01"," 0.9145944939","-6.376522e+00"," 2.054994e-10"," 1.210829e-09"," 1.183555e+01","Lrrc1"
"4659","Csmd1","-6.786376e-01","-0.0392550458","-7.463203e+00"," 1.066004e-13"," 8.026886e-13"," 1.922976e+01","Csmd1"
"4660","Ubxn2b","-6.784959e-01"," 0.5384297763","-4.986946e+00"," 6.440204e-07"," 2.059902e-06"," 4.120869e+00","Ubxn2b"
"4661","Adam11","-6.783830e-01","-0.0458829547","-6.567688e+00"," 5.886798e-11"," 3.633966e-10"," 1.307124e+01","Adam11"
"4662","Yipf4"," 6.779952e-01"," 3.3287074339"," 3.388897e+00"," 7.097086e-04"," 9.286688e-04","-2.084968e+00","Yipf4"
"4663","Gpaa1","-6.779739e-01"," 1.4839006560","-3.694314e+00"," 2.239403e-04"," 3.017940e-04","-1.237762e+00","Gpaa1"
"4664","Fzr1","-6.776207e-01"," 1.3281594164","-4.323186e+00"," 1.581898e-05"," 2.341373e-05"," 1.134921e+00","Fzr1"
"4665","Cdc123","-6.776177e-01"," 2.5673163202","-3.461891e+00"," 5.429858e-04"," 7.153821e-04","-1.966047e+00","Cdc123"
