"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","feature"
"8688","M6pr"," 5.272703e-01"," 4.7324434017"," 1.920350e+00"," 5.489700e-02"," 6.561264e-02"," -5.641110696","M6pr"
"8689","Hyls1"," 5.271452e-01","-0.2871577624"," 4.435820e+00"," 9.461922e-06"," 3.127239e-05","  1.758854975","Hyls1"
"8690","Cbx8"," 5.270901e-01","-0.1375665492"," 3.630877e+00"," 2.866113e-04"," 8.048128e-04"," -1.471111929","Cbx8"
"8691","Med12","-5.269446e-01"," 0.2074521610","-3.361798e+00"," 7.828971e-04"," 2.072952e-03"," -2.381375527","Med12"
"8692","Smpdl3b"," 5.269425e-01","-0.3292289222"," 4.278455e+00"," 1.933650e-05"," 6.198524e-05","  1.064478825","Smpdl3b"
"8693","Zfp57"," 5.267761e-01","-0.2109255700"," 4.230062e+00"," 2.397700e-05"," 7.602883e-05","  0.868598022","Zfp57"
"8694","Sec61a1","-5.266116e-01"," 4.5304840919","-2.039174e+00"," 4.150965e-02"," 5.035699e-02"," -5.420497035","Sec61a1"
"8695","Prmt3"," 5.266012e-01"," 0.4729039917"," 2.856951e+00"," 4.303211e-03"," 6.300353e-03"," -3.865860639","Prmt3"
"8696","Ccdc153","-5.264334e-01","-0.3930019702","-4.945866e+00"," 7.946752e-07"," 2.924250e-06","  4.065293889","Ccdc153"
"8697","Ilvbl","-5.263344e-01"," 2.2678631651","-2.338045e+00"," 1.944240e-02"," 2.479422e-02"," -5.052275763","Ilvbl"
"8698","Creg1","-5.260003e-01"," 1.3293416248","-2.098024e+00"," 3.597643e-02"," 4.401126e-02"," -5.489003432","Creg1"
"8699","Sorcs2","-5.258692e-01","-0.0694118230","-3.314071e+00"," 9.290849e-04"," 2.423555e-03"," -2.379376548","Sorcs2"
"8700","Kifc5b"," 5.258504e-01","-0.2383689398"," 4.033400e+00"," 5.617985e-05"," 1.715260e-04","  0.085793868","Kifc5b"
"8701","Cnih4"," 5.256115e-01"," 2.0683785598"," 2.250904e+00"," 2.445505e-02"," 3.067090e-02"," -5.124347130","Cnih4"
"8702","Vwa5b2"," 5.255188e-01","-0.3444372275"," 4.662019e+00"," 3.251204e-06"," 1.126504e-05","  2.773627406","Vwa5b2"
"8703","Mageh1","-5.255038e-01"," 1.9958049509","-1.789475e+00"," 7.362704e-02"," 8.654205e-02"," -5.913841407","Mageh1"
"8704","Slc25a21","-5.254739e-01","-0.3953178003","-5.126673e+00"," 3.113191e-07"," 1.195533e-06","  4.958752242","Slc25a21"
"8705","Hpx","-5.252867e-01","-0.3240283464","-4.690676e+00"," 2.829906e-06"," 9.875380e-06","  2.854245005","Hpx"
"8706","Bbs1"," 5.250394e-01","-0.0028289890"," 3.426361e+00"," 6.189593e-04"," 1.664648e-03"," -2.100682590","Bbs1"
"8707","Tanc1"," 5.246494e-01"," 1.0600023821"," 3.258695e+00"," 1.130238e-03"," 2.903405e-03"," -2.706216903","Tanc1"
"8708","Prps1l3"," 5.245927e-01"," 0.4065842888"," 2.834281e+00"," 4.619910e-03"," 6.712447e-03"," -3.933247391","Prps1l3"
"8709","Nr3c1"," 5.245853e-01"," 4.3620142314"," 2.152416e+00"," 3.143459e-02"," 3.876673e-02"," -5.260262344","Nr3c1"
"8710","Ccnd1"," 5.238886e-01"," 1.1365830691"," 2.829903e+00"," 4.683438e-03"," 6.795060e-03"," -3.882790997","Ccnd1"
"8711","Dmtf1"," 5.235712e-01"," 0.9288856579"," 2.450534e+00"," 1.431435e-02"," 1.866600e-02"," -4.786770422","Dmtf1"
"8712","2810011L19Rik"," 5.235477e-01","-0.3361804629"," 4.610420e+00"," 4.166007e-06"," 1.425764e-05","  2.529053109","2810011L19Rik"
"8713","Dars2"," 5.233697e-01"," 0.0872191636"," 3.211577e+00"," 1.332358e-03"," 3.369432e-03"," -2.859990245","Dars2"
"8714","Sco1"," 5.226193e-01"," 0.1935636444"," 3.112442e+00"," 1.870830e-03"," 4.540094e-03"," -3.150002334","Sco1"
"8715","Serinc2"," 5.225187e-01","-0.1966036934"," 4.057916e+00"," 5.062251e-05"," 1.550637e-04","  0.210486621","Serinc2"
"8716","Smad3"," 5.221945e-01"," 0.4276257320"," 2.982646e+00"," 2.877921e-03"," 4.650977e-03"," -3.484188188","Smad3"
"8717","Gm5617","-5.221618e-01"," 0.2389889971","-3.393876e+00"," 6.969736e-04"," 1.859281e-03"," -2.291514162","Gm5617"
