"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","feature"
"3196","Efcab10","-0.7992621985","-0.3738271974","-3.754367e+00","1.766784e-04","4.299175e-03","-9.657241e-02","Efcab10"
"3197","4933404M02Rik","-0.7988663674","-0.3774090143","-3.807781e+00","1.426865e-04","3.690479e-03"," 1.027336e-01","4933404M02Rik"
"3198","Mir3074-1","-0.7988069469","-0.0819287058","-3.284236e+00","1.032919e-03","4.886239e-03","-1.735136e+00","Mir3074-1"
"3199","Lrfn1","-0.7987237120","-0.2807052250","-3.531630e+00","4.184766e-04","4.886239e-03","-9.006704e-01","Lrfn1"
"3200","Prpf38a"," 0.7987083051"," 1.1193757898"," 1.670545e+00","9.490340e-02","1.357343e-01","-5.346335e+00","Prpf38a"
"3201","Ttc38","-0.7986855744"," 0.0605774851","-2.348762e+00","1.889275e-02","3.102844e-02","-4.216424e+00","Ttc38"
"3202","Mtap1s"," 0.7986111643"," 0.9919695748"," 1.476307e+00","1.399538e-01","1.922215e-01","-5.474012e+00","Mtap1s"
"3203","Camkv","-0.7986106132","-0.0886883300","-3.239033e+00","1.210863e-03","4.886239e-03","-1.881030e+00","Camkv"
"3204","4930420K17Rik","-0.7985814081"," 1.3232767765","-1.982703e+00","4.748068e-02","7.246656e-02","-4.844402e+00","4930420K17Rik"
"3205","Zfp133-ps","-0.7984021655","-0.1984875923","-3.137538e+00","1.718259e-03","4.886239e-03","-2.188315e+00","Zfp133-ps"
"3206","Zfp949","-0.7983558022"," 0.5747996617","-2.224387e+00","2.618763e-02","4.187626e-02","-4.505095e+00","Zfp949"
"3207","Npc2"," 0.7983497004"," 4.9700239325"," 1.290868e+00","1.968371e-01","2.600193e-01","-5.457107e+00","Npc2"
"3208","Wdr16","-0.7983342419","-0.3900473778","-3.733653e+00","1.918045e-04","4.549146e-03","-1.732189e-01","Wdr16"
"3209","Slc18a2","-0.7980874630","-0.1523354791","-3.083804e+00","2.060080e-03","4.912247e-03","-2.360843e+00","Slc18a2"
"3210","Egln3","-0.7980667080","-0.3367219691","-3.575951e+00","3.538004e-04","4.886239e-03","-7.442777e-01","Egln3"
"3211","Osbpl5","-0.7980326326"," 0.1867083599","-2.653470e+00","8.003838e-03","1.421725e-02","-3.549532e+00","Osbpl5"
"3212","Dnm2","-0.7979913492"," 4.5823287878","-1.547842e+00","1.217530e-01","1.696824e-01","-5.331549e+00","Dnm2"
