"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","feature"
"7034","Leng9","-4.191048e-01"," 0.1306914265"," -3.782629965"," 1.578425e-04"," 2.127660e-04","-1.290181e+00","Leng9"
"7035","Pex16"," 4.190672e-01"," 1.0582643881","  2.891041127"," 3.863947e-03"," 4.763712e-03","-4.050985e+00","Pex16"
"7036","Ccdc101"," 4.189974e-01"," 0.8716579726","  3.442688831"," 5.828943e-04"," 7.564777e-04","-2.458341e+00","Ccdc101"
"7037","Pyy","-4.188333e-01","-0.3118057665"," -5.678673496"," 1.471070e-08"," 6.916451e-08"," 7.560021e+00","Pyy"
"7038","Pcdhgb5","-4.186932e-01","-0.3159603242"," -5.290696668"," 1.295352e-07"," 5.293683e-07"," 5.447372e+00","Pcdhgb5"
"7039","Bckdk"," 4.185924e-01"," 1.7179854844","  2.518173447"," 1.184194e-02"," 1.415127e-02","-4.977595e+00","Bckdk"
"7040","Pnpo","-4.185922e-01","-0.0801553908"," -4.760275600"," 2.013657e-06"," 3.454275e-06"," 2.795247e+00","Pnpo"
"7041","Armcx4","-4.185189e-01","-0.1581106945"," -5.004908138"," 5.871732e-07"," 2.004842e-06"," 3.985027e+00","Armcx4"
"7042","Snx22"," 4.184719e-01"," 0.6458479966","  4.364731308"," 1.310555e-05"," 1.944056e-05"," 1.086574e+00","Snx22"
"7043","Ppm1k","-4.183606e-01"," 1.4955773683"," -2.478795628"," 1.323069e-02"," 1.575903e-02","-4.943401e+00","Ppm1k"
"7044","Pcdhga3","-4.183375e-01","-0.2856564705"," -5.098081853"," 3.617898e-07"," 1.326525e-06"," 4.449776e+00","Pcdhga3"
"7045","Ept1"," 4.183127e-01"," 0.6960831086","  3.418592664"," 6.368391e-04"," 8.241592e-04","-2.493935e+00","Ept1"
"7046","5031410I06Rik"," 4.183056e-01","-0.0874341014","  5.631668373"," 1.929237e-08"," 8.946727e-08"," 7.314134e+00","5031410I06Rik"
"7047","Emp3","-4.182669e-01","-0.0575962994"," -4.815895210"," 1.529168e-06"," 2.747718e-06"," 3.069881e+00","Emp3"
"7048","Casp3","-4.182438e-01","-0.0779579842"," -4.523945528"," 6.276640e-06"," 9.691013e-06"," 1.752385e+00","Casp3"
"7049","Gpr89"," 4.180885e-01"," 0.8635136290","  3.184700851"," 1.462094e-03"," 1.850259e-03","-3.260730e+00","Gpr89"
"7050","Zfp383","-4.180846e-01"," 0.0960583938"," -3.995697928"," 6.586713e-05"," 9.133467e-05","-4.226616e-01","Zfp383"
"7051","Dnahc2","-4.180225e-01","-0.2691123288"," -5.245941610"," 1.649654e-07"," 6.600024e-07"," 5.205360e+00","Dnahc2"
"7052","Nmur2","-4.179963e-01","-0.4288140999"," -6.095079356"," 1.215894e-09"," 6.411350e-09"," 9.962732e+00","Nmur2"
"7053","Itga3","-4.179808e-01","-0.0883356964"," -4.977476145"," 6.760924e-07"," 2.072144e-06"," 3.837585e+00","Itga3"
"7054","Scamp1"," 4.179785e-01"," 2.4265482255","  2.535890934"," 1.126044e-02"," 1.347217e-02","-4.819415e+00","Scamp1"
"7055","Cckbr","-4.179772e-01","-0.3646860061"," -5.639510581"," 1.844179e-08"," 8.582851e-08"," 7.323700e+00","Cckbr"
"7056","Lamtor2"," 4.179686e-01"," 2.8814358081","  2.480004091"," 1.318602e-02"," 1.570779e-02","-4.847805e+00","Lamtor2"
"7057","Slc22a8","-4.179672e-01"," 1.2179228862"," -5.191313172"," 2.210285e-07"," 8.590747e-07"," 4.913743e+00","Slc22a8"
"7058","Disc1","-4.178933e-01","-0.1939959487"," -5.328181222"," 1.056350e-07"," 4.380365e-07"," 5.629345e+00","Disc1"
