"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","feature"
"20366","Rnd2","-2.774448e-01"," 1.2981817077","-1.053602e+00"," 2.921398e-01"," 3.278126e-01"," -6.932990890","Rnd2"
"20367","Zfp87","-2.774423e-01"," 0.2655010511","-1.452872e+00"," 1.463514e-01"," 1.716700e-01"," -6.796578430","Zfp87"
"20368","Pwwp2b","-2.773203e-01"," 0.0080937257","-1.699076e+00"," 8.939610e-02"," 1.080695e-01"," -6.480512725","Pwwp2b"
"20369","Rasa1"," 2.772423e-01"," 1.4602595189"," 1.116896e+00"," 2.641174e-01"," 2.983688e-01"," -6.969436151","Rasa1"
"20370","Rrp1b"," 2.772420e-01"," 0.1786269964"," 1.227129e+00"," 2.198587e-01"," 2.514004e-01"," -6.952473438","Rrp1b"
"20371","Ly6c1"," 2.772295e-01"," 2.6222235820"," 1.608152e+00"," 1.078945e-01"," 1.288433e-01"," -6.446111102","Ly6c1"
"20372","Hadhb","-2.772137e-01"," 4.1996884449","-7.095043e-01"," 4.780601e-01"," 5.167065e-01"," -6.905600908","Hadhb"
"20373","Atad3a","-2.772074e-01"," 0.6913603949","-1.137172e+00"," 2.555464e-01"," 2.895517e-01"," -7.038018126","Atad3a"
"20374","Mbtd1","-2.771972e-01"," 0.6962948434","-1.225462e+00"," 2.204857e-01"," 2.521051e-01"," -6.959237363","Mbtd1"
"20375","Dffb"," 2.771754e-01","-0.1931810748"," 1.587151e+00"," 1.125712e-01"," 1.340591e-01"," -6.584896349","Dffb"
"20376","Exoc3","-2.770982e-01"," 2.7159026263","-9.789363e-01"," 3.276809e-01"," 3.647073e-01"," -7.045871897","Exoc3"
"20377","Dcun1d4","-2.770601e-01"," 0.4458336866","-1.350706e+00"," 1.768794e-01"," 2.052193e-01"," -6.900979272","Dcun1d4"
"20378","Mospd3"," 2.768405e-01"," 0.9444977142"," 1.162200e+00"," 2.452357e-01"," 2.786639e-01"," -6.975001777","Mospd3"
"20379","Gimap1","-2.768097e-01"," 0.6431261222","-1.769734e+00"," 7.686084e-02"," 9.363556e-02"," -6.369030234","Gimap1"
"20380","Cux1"," 2.767166e-01"," 1.8721531363"," 8.910392e-01"," 3.729710e-01"," 4.111893e-01"," -7.018935383","Cux1"
"20381","Eif2b3"," 2.766579e-01"," 0.9305355234"," 1.094777e+00"," 2.736918e-01"," 3.086343e-01"," -7.066053944","Eif2b3"
"20382","Limk1","-2.765004e-01"," 0.1423538115","-1.599916e+00"," 1.097098e-01"," 1.308710e-01"," -6.582644831","Limk1"
"20383","Lyrm5","-2.764286e-01"," 1.4127357360","-1.054933e+00"," 2.915306e-01"," 3.271917e-01"," -7.087146451","Lyrm5"
"20384","Naa10"," 2.763537e-01"," 1.4891250120"," 8.844877e-01"," 3.764954e-01"," 4.148016e-01"," -7.077073398","Naa10"
"20385","Ttc34","-2.761654e-01","-0.3675626887","-2.054659e+00"," 3.998793e-02"," 5.037022e-02"," -5.825413886","Ttc34"
"20386","Eps8l2","-2.761585e-01"," 0.1691340110","-1.762091e+00"," 7.814352e-02"," 9.510424e-02"," -6.380683940","Eps8l2"
"20387","Zfp362"," 2.761406e-01"," 0.7539347977"," 1.182556e+00"," 2.370674e-01"," 2.699058e-01"," -6.950670484","Zfp362"
"20388","Crebl2","-2.761190e-01"," 0.0299022296","-1.584027e+00"," 1.132803e-01"," 1.348350e-01"," -6.642762183","Crebl2"
"20389","9930104L06Rik","-2.760943e-01"," 0.1457072143","-1.473598e+00"," 1.406823e-01"," 1.654176e-01"," -6.751812015","9930104L06Rik"
"20390","Med31"," 2.759745e-01"," 1.4062679176"," 1.037378e+00"," 2.996331e-01"," 3.355621e-01"," -7.031607885","Med31"
"20391","Cdk4"," 2.759103e-01"," 2.9824637445"," 8.063711e-01"," 4.200851e-01"," 4.589852e-01"," -7.042832066","Cdk4"
"20392","Phf15","-2.759038e-01"," 0.4134364223","-1.437061e+00"," 1.507925e-01"," 1.765701e-01"," -6.815065023","Phf15"
"20393","Traf6","-2.757543e-01"," 1.0155254859","-1.384467e+00"," 1.663062e-01"," 1.936135e-01"," -6.829832848","Traf6"
"20394","Coq6"," 2.757325e-01"," 0.4738440510"," 1.150934e+00"," 2.498402e-01"," 2.835660e-01"," -7.077038864","Coq6"
"20395","Htatip2","-2.757301e-01","-0.1498942812","-1.664469e+00"," 9.611052e-02"," 1.156079e-01"," -6.511536501","Htatip2"
"20396","6330418K02Rik","-2.756118e-01","-0.2467434996","-1.896594e+00"," 5.796596e-02"," 7.175470e-02"," -6.091540680","6330418K02Rik"
"20397","Deaf1","-2.756020e-01"," 1.3148281902","-1.175891e+00"," 2.397204e-01"," 2.727275e-01"," -7.064063653","Deaf1"
"20398","Kpna4"," 2.755672e-01"," 1.3282926913"," 1.029736e+00"," 3.032068e-01"," 3.392078e-01"," -6.987999642","Kpna4"
"20399","Mipol1","-2.755264e-01"," 0.0466169685","-1.472822e+00"," 1.408912e-01"," 1.656550e-01"," -6.772828751","Mipol1"
"20400","Stx1a","-2.755112e-01","-0.0996829990","-1.737787e+00"," 8.233855e-02"," 9.988296e-02"," -6.414743076","Stx1a"
"20401","Uck1","-2.754278e-01"," 1.4742586097","-9.847391e-01"," 3.248221e-01"," 3.617144e-01"," -7.130996164","Uck1"
"20402","2400001E08Rik","-2.753927e-01"," 3.9982556318","-8.275045e-01"," 4.080091e-01"," 4.467282e-01"," -6.933862682","2400001E08Rik"
"20403","Usp31","-2.753856e-01"," 1.2926040625","-1.499704e+00"," 1.337835e-01"," 1.577889e-01"," -6.751060555","Usp31"
"20404","Nmnat1"," 2.753792e-01","-0.1458267242"," 1.518333e+00"," 1.290232e-01"," 1.525121e-01"," -6.662493362","Nmnat1"
"20405","2810002D19Rik"," 2.753373e-01"," 0.0730668820"," 1.315527e+00"," 1.884212e-01"," 2.177921e-01"," -6.923429744","2810002D19Rik"
"20406","Ubxn2b","-2.752999e-01"," 0.5384297763","-1.208201e+00"," 2.270538e-01"," 2.592356e-01"," -7.015358927","Ubxn2b"
"20407","1700011J10Rik","-2.752838e-01"," 0.4232327863","-1.247160e+00"," 2.124246e-01"," 2.434225e-01"," -6.905538672","1700011J10Rik"
"20408","Rfxank","-2.752495e-01"," 1.2488727039","-1.062869e+00"," 2.879166e-01"," 3.234765e-01"," -7.013143572","Rfxank"
"20409","2410066E13Rik"," 2.751570e-01","-0.0184474662"," 1.506076e+00"," 1.321404e-01"," 1.559372e-01"," -6.707166225","2410066E13Rik"
"20410","Ankrd23","-2.750934e-01","-0.2975296002","-1.919747e+00"," 5.497319e-02"," 6.822300e-02"," -6.096276582","Ankrd23"
"20411","Ptrh2","-2.750516e-01"," 0.9440109412","-1.189547e+00"," 2.343074e-01"," 2.669840e-01"," -7.012922032","Ptrh2"
"20412","Dusp27"," 2.749593e-01","-0.4041785710"," 2.010439e+00"," 4.446334e-02"," 5.573496e-02"," -5.827453145","Dusp27"
"20413","Abcg1","-2.748779e-01"," 4.0275245971","-1.573934e+00"," 1.155955e-01"," 1.374162e-01"," -6.611815509","Abcg1"
"20414","Cxx1a"," 2.748656e-01"," 1.8955345781"," 1.626147e+00"," 1.040107e-01"," 1.245418e-01"," -6.333725327","Cxx1a"
"20415","Pak2","-2.748578e-01"," 2.6511025083","-1.095398e+00"," 2.734195e-01"," 3.083569e-01"," -6.935695755","Pak2"
"20416","Ash1l"," 2.748161e-01"," 2.4962800995"," 7.724568e-01"," 4.398974e-01"," 4.789349e-01"," -6.966178378","Ash1l"
"20417","Zfp78","-2.748086e-01","-0.2762629480","-1.869174e+00"," 6.168425e-02"," 7.603214e-02"," -6.174280249","Zfp78"
"20418","Ptger3","-2.747798e-01","-0.4157056553","-2.179841e+00"," 2.933740e-02"," 3.750482e-02"," -5.555606926","Ptger3"
"20419","Sparcl1"," 2.746371e-01"," 6.2814359437"," 5.940047e-01"," 5.525484e-01"," 5.900633e-01"," -6.799177958","Sparcl1"
"20420","Irgm2","-2.745733e-01"," 0.0281365626","-1.878226e+00"," 6.043554e-02"," 7.463038e-02"," -6.152691743","Irgm2"
"20421","Agbl5"," 2.745168e-01","-0.0902439641"," 1.541981e+00"," 1.231710e-01"," 1.459257e-01"," -6.598679526","Agbl5"
"20422","ERCC-00144","-2.744047e-01","-0.1133627427","-1.484281e+00"," 1.378269e-01"," 1.622312e-01"," -6.779507609","ERCC-00144"
"20423","Ankrd52","-2.743568e-01"," 0.1189962199","-1.495865e+00"," 1.347814e-01"," 1.588779e-01"," -6.727673877","Ankrd52"
"20424","Phf2","-2.742432e-01"," 0.3432088376","-1.348752e+00"," 1.775063e-01"," 2.058855e-01"," -6.845274996","Phf2"
"20425","Sgpp2","-2.741384e-01"," 0.3779002381","-1.856092e+00"," 6.352659e-02"," 7.817964e-02"," -6.209633218","Sgpp2"
"20426","ERCC-00099","-2.741244e-01","-0.2451860080","-1.650300e+00"," 9.897369e-02"," 1.188689e-01"," -6.540915635","ERCC-00099"
"20427","Ttc4"," 2.740717e-01"," 1.2063419349"," 9.777251e-01"," 3.282796e-01"," 3.653042e-01"," -7.121869500","Ttc4"
"20428","Nrgn","-2.740347e-01"," 0.1568691139","-1.432291e+00"," 1.521522e-01"," 1.780733e-01"," -6.753143087","Nrgn"
"20429","Zfp646","-2.740158e-01","-0.0022782157","-1.579990e+00"," 1.142019e-01"," 1.358699e-01"," -6.647380010","Zfp646"
"20430","Mtr","-2.739224e-01","-0.1983858463","-1.666193e+00"," 9.576671e-02"," 1.152239e-01"," -6.493054102","Mtr"
"20431","Gfm1","-2.738046e-01"," 0.5575160214","-1.148465e+00"," 2.508571e-01"," 2.846099e-01"," -7.060070252","Gfm1"
"20432","Tgfb1","-2.736409e-01","-0.3382320932","-2.158674e+00"," 3.094500e-02"," 3.946523e-02"," -5.609772353","Tgfb1"
"20433","Lnpep"," 2.736006e-01"," 1.4378669231"," 9.301095e-01"," 3.523802e-01"," 3.899932e-01"," -6.976413371","Lnpep"
"20434","Ube2v2","-2.735836e-01"," 1.2633513304","-1.297963e+00"," 1.943877e-01"," 2.241125e-01"," -6.777450262","Ube2v2"
"20435","Mrpl16","-2.735277e-01"," 0.5856615140","-1.158465e+00"," 2.467554e-01"," 2.803092e-01"," -7.042986379","Mrpl16"
"20436","Cited4","-2.734818e-01","-0.0512077197","-1.714236e+00"," 8.657622e-02"," 1.047957e-01"," -6.473948680","Cited4"
"20437","Mrps12"," 2.733914e-01"," 2.3333138546"," 9.181592e-01"," 3.586004e-01"," 3.962784e-01"," -7.000600098","Mrps12"
"20438","Tgfbrap1","-2.733464e-01"," 0.5819616985","-1.291971e+00"," 1.964546e-01"," 2.263729e-01"," -6.935725401","Tgfbrap1"
"20439","Med13","-2.732378e-01"," 1.3633846084","-1.025658e+00"," 3.051258e-01"," 3.412079e-01"," -7.047705020","Med13"
"20440","Slc35a1"," 2.731660e-01"," 0.9540308413"," 1.033157e+00"," 3.016039e-01"," 3.376079e-01"," -7.120523171","Slc35a1"
"20441","Rab40b","-2.731438e-01","-0.0889062405","-1.768546e+00"," 7.705896e-02"," 9.387204e-02"," -6.372441476","Rab40b"
"20442","Pigy","-2.729726e-01"," 1.2317282498","-7.582419e-01"," 4.483586e-01"," 4.874675e-01"," -7.043173543","Pigy"
"20443","Vil1","-2.728454e-01","-0.2079633911","-1.912076e+00"," 5.595013e-02"," 6.938482e-02"," -6.116414367","Vil1"
"20444","Tmem91","-2.728378e-01","-0.1889312362","-1.903397e+00"," 5.707292e-02"," 7.071646e-02"," -6.140345079","Tmem91"
"20445","Adss"," 2.727571e-01"," 0.9864652603"," 1.098179e+00"," 2.722037e-01"," 3.070597e-01"," -7.045902965","Adss"
"20446","Ndufs1","-2.726664e-01"," 2.8288438700","-7.422481e-01"," 4.579881e-01"," 4.969225e-01"," -6.991819295","Ndufs1"
"20447","Gm5617","-2.725153e-01"," 0.2389889971","-1.354990e+00"," 1.755104e-01"," 2.037016e-01"," -6.871260282","Gm5617"
"20448","Prdm4","-2.724819e-01"," 0.0125239375","-1.454567e+00"," 1.458813e-01"," 1.711529e-01"," -6.788938275","Prdm4"
"20449","Sbf2","-2.723312e-01"," 1.2863413123","-1.108358e+00"," 2.677853e-01"," 3.023665e-01"," -7.054086081","Sbf2"
"20450","Jag2","-2.722799e-01"," 0.4054751228","-1.892270e+00"," 5.853959e-02"," 7.243417e-02"," -6.153751257","Jag2"
"20451","4931408A02Rik"," 2.722268e-01","-0.2305858507"," 1.542169e+00"," 1.231252e-01"," 1.458789e-01"," -6.586618264","4931408A02Rik"
"20452","Tada2a","-2.721855e-01"," 0.5750711955","-1.242952e+00"," 2.139711e-01"," 2.450269e-01"," -7.009416339","Tada2a"
"20453","Hook3","-2.721369e-01"," 3.0098080643","-8.031562e-01"," 4.219405e-01"," 4.608404e-01"," -6.988677667","Hook3"
"20454","Traf3ip2","-2.718569e-01","-0.1031177072","-1.578304e+00"," 1.145886e-01"," 1.362953e-01"," -6.574883110","Traf3ip2"
"20455","Paqr5","-2.718122e-01"," 1.1312726318","-1.985442e+00"," 4.717526e-02"," 5.895461e-02"," -5.964827283","Paqr5"
"20456","Dnttip1"," 2.715935e-01"," 1.3396034626"," 9.975117e-01"," 3.185870e-01"," 3.552945e-01"," -7.088388863","Dnttip1"
"20457","Aptx","-2.715815e-01"," 0.6967831215","-1.130764e+00"," 2.582341e-01"," 2.923003e-01"," -7.093093744","Aptx"
"20458","Dpcd","-2.714500e-01"," 0.8569155388","-1.125538e+00"," 2.604402e-01"," 2.945270e-01"," -7.099825594","Dpcd"
"20459","Bmpr2","-2.714093e-01"," 0.5243547718","-1.323999e+00"," 1.855920e-01"," 2.147537e-01"," -6.926623935","Bmpr2"
"20460","Map2k7","-2.714064e-01"," 1.3204899719","-1.194907e+00"," 2.322063e-01"," 2.647701e-01"," -6.989894689","Map2k7"
"20461","Nphp1","-2.712838e-01"," 0.0716780578","-1.360463e+00"," 1.737734e-01"," 2.018555e-01"," -6.847732114","Nphp1"
"20462","Aldh3a2"," 2.711228e-01"," 1.6860739930"," 1.029104e+00"," 3.035038e-01"," 3.394913e-01"," -7.081590990","Aldh3a2"
"20463","Thap7"," 2.710918e-01"," 0.9061181235"," 1.021666e+00"," 3.070113e-01"," 3.431691e-01"," -7.109106559","Thap7"
"20464","Evc2","-2.710709e-01","-0.2741505226","-1.745243e+00"," 8.103259e-02"," 9.842102e-02"," -6.307180837","Evc2"
"20465","Ctu1","-2.709206e-01","-0.1539161952","-1.618044e+00"," 1.057456e-01"," 1.264705e-01"," -6.605472896","Ctu1"
"20466","Mrpl12"," 2.708801e-01"," 2.4238245589"," 7.870259e-01"," 4.313214e-01"," 4.702314e-01"," -7.009758215","Mrpl12"
"20467","Klhdc10","-2.707324e-01"," 0.6171879266","-1.356039e+00"," 1.751766e-01"," 2.033444e-01"," -6.825204670","Klhdc10"
"20468","Wdr44","-2.706126e-01"," 0.1852194504","-1.472081e+00"," 1.410913e-01"," 1.658819e-01"," -6.800910311","Wdr44"
"20469","Magee1","-2.705641e-01"," 1.1542732739","-1.300331e+00"," 1.935754e-01"," 2.232771e-01"," -6.946140405","Magee1"
"20470","Tnip1"," 2.704442e-01"," 0.4543763594"," 1.369615e+00"," 1.708972e-01"," 1.986918e-01"," -6.864847302","Tnip1"
"20471","Wdr92","-2.701702e-01"," 0.1203479345","-1.417609e+00"," 1.563962e-01"," 1.826845e-01"," -6.840533187","Wdr92"
"20472","Angptl6","-2.700856e-01"," 0.2406580802","-1.366561e+00"," 1.718529e-01"," 1.997139e-01"," -6.946459416","Angptl6"
"20473","Zcchc14"," 2.700418e-01"," 1.0892851219"," 9.233084e-01"," 3.559118e-01"," 3.935486e-01"," -7.106588210","Zcchc14"
"20474","Txndc11"," 2.699437e-01"," 0.4216275798"," 1.129156e+00"," 2.589116e-01"," 2.929964e-01"," -7.027687056","Txndc11"
"20475","3010001F23Rik","-2.699260e-01","-0.2953477086","-2.003815e+00"," 4.516885e-02"," 5.657695e-02"," -5.927294792","3010001F23Rik"
"20476","Phf20","-2.698604e-01"," 2.1035141996","-9.915907e-01"," 3.214676e-01"," 3.583024e-01"," -7.093378706","Phf20"
