"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","feature"
"22171","Tfpt"," 9.586168e-02"," 0.8386028078"," 4.477034e-01"," 6.543957e-01"," 6.883845e-01"," -7.644985330","Tfpt"
"22172","Gigyf1"," 9.583220e-02"," 0.6643999159"," 4.976004e-01"," 6.187978e-01"," 6.541090e-01"," -7.589024912","Gigyf1"
"22173","Eri2","-9.582064e-02","-0.0806308638","-6.117363e-01"," 5.407530e-01"," 5.801687e-01"," -7.730219981","Eri2"
"22174","1500012F01Rik"," 9.581903e-02"," 0.9918853496"," 5.051026e-01"," 6.135194e-01"," 6.491444e-01"," -7.685913176","1500012F01Rik"
"22175","Rtn4ip1"," 9.576773e-02"," 0.2096972967"," 5.349721e-01"," 5.927040e-01"," 6.291088e-01"," -7.719513262","Rtn4ip1"
"22176","B4galnt4","-9.576253e-02","-0.2429656540","-7.916079e-01"," 4.286444e-01"," 4.692998e-01"," -7.684152212","B4galnt4"
"22177","Snx19"," 9.568065e-02"," 0.9566468247"," 3.833082e-01"," 7.015151e-01"," 7.319710e-01"," -7.537070482","Snx19"
"22178","Elmod2"," 9.553470e-02"," 0.0967587481"," 5.430376e-01"," 5.871394e-01"," 6.239371e-01"," -7.696428693","Elmod2"
"22179","3110009E18Rik"," 9.551697e-02","-0.1159734172"," 6.821967e-01"," 4.951609e-01"," 5.353221e-01"," -7.715294089","3110009E18Rik"
"22180","Socs3","-9.548251e-02"," 0.8275029846","-5.191190e-01"," 6.037115e-01"," 6.395466e-01"," -7.782156346","Socs3"
"22181","Elovl7"," 9.539738e-02"," 3.3233712898"," 5.535168e-01"," 5.799459e-01"," 6.171323e-01"," -7.746424685","Elovl7"
"22182","Mitd1"," 9.534769e-02"," 0.2396403558"," 5.330237e-01"," 5.940519e-01"," 6.304252e-01"," -7.716174368","Mitd1"
"22183","Ubac1"," 9.527525e-02"," 1.6262701985"," 3.643129e-01"," 7.156470e-01"," 7.455213e-01"," -7.543299706","Ubac1"
"22184","Mrps18b"," 9.512560e-02"," 0.8826128495"," 3.790401e-01"," 7.046816e-01"," 7.350131e-01"," -7.597657209","Mrps18b"
"22185","Lemd3"," 9.492983e-02"," 0.1741343923"," 5.121249e-01"," 6.085967e-01"," 6.444596e-01"," -7.703560892","Lemd3"
"22186","Atp7a","-9.492839e-02"," 0.4612632123","-4.904034e-01"," 6.238800e-01"," 6.588571e-01"," -7.701737760","Atp7a"
"22187","Hyou1","-9.491852e-02"," 0.1537349925","-5.578703e-01"," 5.769696e-01"," 6.143837e-01"," -7.738625365","Hyou1"
"22188","Ntn3","-9.487815e-02","-0.1899675298","-6.107755e-01"," 5.413889e-01"," 5.807712e-01"," -7.732499657","Ntn3"
"22189","Mettl4"," 9.480568e-02","-0.0612311556"," 5.589750e-01"," 5.762155e-01"," 6.136429e-01"," -7.747758183","Mettl4"
"22190","Cldn12"," 9.470264e-02","-0.0205279573"," 5.851811e-01"," 5.584646e-01"," 5.968315e-01"," -7.743023198","Cldn12"
"22191","Ccdc75"," 9.464265e-02"," 0.8907055744"," 4.266458e-01"," 6.696642e-01"," 7.025538e-01"," -7.663577590","Ccdc75"
"22192","Sacs","-9.459520e-02","-0.1241908888","-6.679599e-01"," 5.042044e-01"," 5.442970e-01"," -7.762283856","Sacs"
"22193","Ppat"," 9.456647e-02"," 0.1292983287"," 5.260875e-01"," 5.988616e-01"," 6.350404e-01"," -7.763871027","Ppat"
"22194","Huwe1","-9.447909e-02"," 2.0976685689","-3.732737e-01"," 7.089679e-01"," 7.391878e-01"," -7.446292350","Huwe1"
"22195","Magee2"," 9.423769e-02","-0.3026147505"," 6.992651e-01"," 4.844340e-01"," 5.248147e-01"," -7.714343942","Magee2"
"22196","Gpr149"," 9.405431e-02","-0.3807847558"," 7.772351e-01"," 4.370740e-01"," 4.775917e-01"," -7.680383429","Gpr149"
"22197","Mkrn3","-9.382653e-02","-0.2842623936","-6.808646e-01"," 4.960034e-01"," 5.361586e-01"," -7.752541533","Mkrn3"
"22198","Rhbdl1"," 9.378295e-02"," 0.0017367401"," 5.589662e-01"," 5.762215e-01"," 6.136429e-01"," -7.719456942","Rhbdl1"
"22199","Wsb1","-9.375373e-02"," 1.1104220429","-3.517346e-01"," 7.250590e-01"," 7.545737e-01"," -7.486385779","Wsb1"
"22200","Mtmr4"," 9.372362e-02"," 0.9990312925"," 5.383609e-01"," 5.903630e-01"," 6.268795e-01"," -7.697877693","Mtmr4"
"22201","Amfr"," 9.362480e-02"," 4.0817561033"," 2.817909e-01"," 7.781209e-01"," 8.029287e-01"," -7.225982131","Amfr"
"22202","Akap5"," 9.362419e-02","-0.0381000298"," 6.097017e-01"," 5.421001e-01"," 5.814542e-01"," -7.722096768","Akap5"
"22203","Fam20c","-9.323365e-02"," 0.5334447761","-3.222523e-01"," 7.472813e-01"," 7.753035e-01"," -7.467861474","Fam20c"
"22204","Ifit3"," 9.322118e-02"," 0.3469808684"," 5.116302e-01"," 6.089430e-01"," 6.447680e-01"," -7.699550342","Ifit3"
"22205","Grin2d"," 9.307100e-02","-0.3021779434"," 6.930171e-01"," 4.883460e-01"," 5.287350e-01"," -7.732857137","Grin2d"
"22206","Zik1"," 9.297724e-02","-0.2025226819"," 6.549722e-01"," 5.125298e-01"," 5.525447e-01"," -7.702610653","Zik1"
"22207","1110038D17Rik","-9.289374e-02"," 0.0160160329","-5.522324e-01"," 5.808253e-01"," 6.179840e-01"," -7.765205111","1110038D17Rik"
"22208","Hpca"," 9.287077e-02"," 0.2170083678"," 5.798084e-01"," 5.620822e-01"," 6.001651e-01"," -7.756460837","Hpca"
"22209","Herc1","-9.285295e-02"," 1.6526310443","-3.237570e-01"," 7.461419e-01"," 7.741916e-01"," -7.427146180","Herc1"
"22210","Ndufc2","-9.278529e-02"," 4.6798798949","-3.254644e-01"," 7.448496e-01"," 7.730218e-01"," -7.165396668","Ndufc2"
"22211","Slc16a14","-9.271363e-02","-0.3803844992","-7.854658e-01"," 4.322351e-01"," 4.728334e-01"," -7.698717109","Slc16a14"
"22212","Slc6a19","-9.266937e-02","-0.4060009434","-7.935648e-01"," 4.275040e-01"," 4.683576e-01"," -7.697995601","Slc6a19"
"22213","Rps6ka6","-9.260350e-02","-0.3451466186","-7.618698e-01"," 4.461904e-01"," 4.868268e-01"," -7.693857211","Rps6ka6"
"22214","Mical3","-9.255940e-02"," 0.0094112950","-5.814303e-01"," 5.609889e-01"," 5.991911e-01"," -7.816787815","Mical3"
"22215","Inhba","-9.254113e-02","-0.2386772362","-6.901813e-01"," 4.901272e-01"," 5.305409e-01"," -7.730893726","Inhba"
"22216","Mzt2"," 9.253333e-02"," 0.6791977218"," 3.347585e-01"," 7.378278e-01"," 7.664474e-01"," -7.474571915","Mzt2"
"22217","Trub2"," 9.238321e-02"," 0.6835353714"," 4.001672e-01"," 6.890585e-01"," 7.206099e-01"," -7.659249520","Trub2"
"22218","Nomo1","-9.212553e-02"," 1.2338030183","-4.480720e-01"," 6.541297e-01"," 6.881817e-01"," -7.687255989","Nomo1"
"22219","Klhl26"," 9.208588e-02"," 0.3048523610"," 4.618565e-01"," 6.442137e-01"," 6.785876e-01"," -7.731398095","Klhl26"
"22220","Cadps2","-9.203400e-02","-0.1220276518","-5.774694e-01"," 5.636605e-01"," 6.016333e-01"," -7.761558266","Cadps2"
